Supplier,Supplier_Lot,Part_No,VIN
SUP-01,LOT-4392,553-GHI,L97***********NXT
SUP-01,LOT-2662,504-GHI,P40***********CG4
SUP-09,LOT-4174,483-DEF,LBG***********GG1
SUP-09,LOT-7506,490-ABC,WB6***********RN9
SUP-02,LOT-6109,736-ABC,WH3***********G3V
SUP-02,LOT-9712,186-JKL,LPX***********9UV
SUP-02,LOT-9566,854-DEF,GAL***********XKZ
SUP-09,LOT-5528,716-GHI,FYS***********AK4
SUP-01,LOT-3103,469-GHI,T7Y***********RGF
SUP-09,LOT-7798,690-ABC,YJE***********5VM
SUP-02,LOT-2149,429-DEF,7NW***********UGZ
SUP-02,LOT-5581,803-ABC,GAF***********64D
SUP-09,LOT-8786,498-JKL,V08***********JWB
SUP-02,LOT-7706,693-ABC,H43***********EAK
SUP-02,LOT-2848,918-ABC,MA4***********PJE
SUP-09,LOT-8666,899-DEF,TXM***********VZ2
SUP-01,LOT-4549,994-ABC,88K***********YBL
SUP-01,LOT-4837,920-ABC,W0M***********ETN
SUP-01,LOT-1186,189-ABC,ZN7***********M0W
SUP-02,LOT-5896,742-GHI,MXT***********HVN
SUP-02,LOT-5745,244-ABC,6E8***********TMS
SUP-09,LOT-6317,120-ABC,3SS***********BBT
SUP-01,LOT-7898,348-JKL,K5V***********75C
SUP-09,LOT-5103,826-GHI,3AH***********1WC
SUP-01,LOT-6787,727-DEF,MYL***********V7V
SUP-09,LOT-4225,717-ABC,UC5***********F88
SUP-09,LOT-8117,792-DEF,Z9Z***********Z3E
SUP-09,LOT-7121,844-JKL,JHW***********S7X
SUP-02,LOT-2788,930-ABC,9CG***********JM2
SUP-01,LOT-4937,908-DEF,E9M***********29T
SUP-02,LOT-1875,954-ABC,G00***********XFN
SUP-02,LOT-5780,803-JKL,L8F***********SVV
SUP-09,LOT-8960,435-ABC,LP8***********0X1
SUP-01,LOT-8907,130-GHI,9PN***********JM9
SUP-09,LOT-7472,169-DEF,ZHJ***********AGF
SUP-02,LOT-7289,873-ABC,U0B***********E4W
SUP-02,LOT-6837,652-ABC,RWJ***********8KC
SUP-01,LOT-3132,410-DEF,CV7***********8SY
SUP-01,LOT-6385,751-GHI,8DH***********9GV
SUP-09,LOT-4058,660-DEF,S7J***********MLK
SUP-09,LOT-8757,812-JKL,W6R***********XY6
SUP-09,LOT-4894,215-GHI,AX1***********Y6T
SUP-01,LOT-4376,863-JKL,RBY***********D3F
SUP-02,LOT-5445,614-ABC,7A5***********CY0
SUP-01,LOT-5379,501-ABC,GNH***********6PF
SUP-02,LOT-5643,113-DEF,WLS***********6JM
SUP-01,LOT-7950,201-DEF,7NS***********LMA
SUP-01,LOT-9847,968-JKL,EKC***********BFU
SUP-09,LOT-4883,365-DEF,C48***********Z6P
SUP-01,LOT-8168,190-ABC,HC9***********5FY
SUP-02,LOT-2269,417-DEF,25Z***********S8G
SUP-09,LOT-3988,454-GHI,59P***********GZV
SUP-01,LOT-6731,886-DEF,ZA3***********ZNK
SUP-09,LOT-7777,262-JKL,M3J***********C8C
SUP-09,LOT-6383,672-ABC,LB6***********Y3S
SUP-02,LOT-9087,832-GHI,VLA***********5X3
SUP-09,LOT-4561,889-DEF,J6Y***********6VA
SUP-09,LOT-2120,715-JKL,32S***********TVB
SUP-01,LOT-4549,360-GHI,DHN***********PZC
SUP-01,LOT-2997,426-GHI,G0P***********ZFV
SUP-02,LOT-1249,553-GHI,4U1***********JZG
SUP-02,LOT-4064,727-JKL,UDA***********F4C
SUP-01,LOT-1063,522-GHI,ZH1***********59D
SUP-02,LOT-6792,651-DEF,ZYB***********VYV
SUP-09,LOT-4710,409-ABC,GHZ***********G46
SUP-09,LOT-9020,820-DEF,TK6***********NY6
SUP-09,LOT-3744,961-ABC,4EY***********BC1
SUP-01,LOT-5878,341-DEF,EYD***********A44
SUP-01,LOT-2419,258-GHI,2KG***********ET9
SUP-01,LOT-7431,790-GHI,JGD***********J0J
SUP-09,LOT-8674,725-JKL,SW5***********TJY
SUP-02,LOT-2806,332-DEF,7FL***********AHC
SUP-01,LOT-7849,875-JKL,NSK***********PC1
SUP-01,LOT-9621,232-DEF,35M***********3C0
SUP-01,LOT-6527,876-JKL,TTS***********Y9E
SUP-01,LOT-8439,608-ABC,UGD***********6UR
SUP-01,LOT-6630,280-DEF,XFB***********HRB
SUP-09,LOT-6250,966-ABC,AJ7***********SGN
SUP-09,LOT-2910,889-GHI,22U***********DHX
SUP-02,LOT-3508,645-JKL,M5S***********S9F
SUP-02,LOT-8170,814-GHI,T9F***********1HZ
SUP-09,LOT-2587,260-ABC,EFF***********U10
SUP-02,LOT-5868,954-GHI,319***********ECH
SUP-09,LOT-9155,748-DEF,UL0***********0G3
SUP-01,LOT-9508,163-DEF,Z04***********GT1
SUP-02,LOT-9611,143-DEF,DX4***********N4S
SUP-09,LOT-1745,494-DEF,7GV***********H40
SUP-01,LOT-9743,522-DEF,P62***********BNN
SUP-02,LOT-2238,619-ABC,8RW***********K9T
SUP-01,LOT-2110,728-JKL,J15***********WH7
SUP-01,LOT-1310,255-GHI,8U1***********WRR
SUP-09,LOT-9093,413-DEF,1LE***********HRT
SUP-01,LOT-5244,826-GHI,58F***********867
SUP-09,LOT-8202,687-ABC,7Y5***********XFB
SUP-02,LOT-9350,444-DEF,1AE***********VSH
SUP-09,LOT-8995,590-JKL,0UM***********N7U
SUP-02,LOT-5134,246-GHI,FJ3***********9T4
SUP-02,LOT-1266,343-ABC,B14***********KNE
SUP-09,LOT-8949,468-JKL,2E5***********LAT
SUP-02,LOT-4959,879-GHI,B4S***********WE2
SUP-01,LOT-4698,606-ABC,0KX***********339
SUP-02,LOT-8987,478-DEF,EYA***********X01
SUP-01,LOT-9379,158-GHI,Z1J***********9A5
SUP-02,LOT-7411,116-JKL,8F8***********2UM
SUP-01,LOT-1213,468-DEF,WY7***********TDL
SUP-01,LOT-3994,287-ABC,D9Y***********6Z7
SUP-02,LOT-6592,414-JKL,L2U***********V21
SUP-02,LOT-7637,574-DEF,XP8***********4AG
SUP-02,LOT-8613,327-JKL,SU2***********7LX
SUP-02,LOT-5769,638-ABC,31J***********5M5
SUP-02,LOT-4089,419-JKL,J3F***********2RG
SUP-01,LOT-5640,188-GHI,F5H***********VZS
SUP-01,LOT-7252,212-JKL,Y61***********3EK
SUP-01,LOT-3752,909-ABC,BRT***********YT5
SUP-01,LOT-1781,889-JKL,888***********V0U
SUP-01,LOT-9695,258-GHI,T21***********7T3
SUP-09,LOT-1254,566-JKL,YFM***********W17
SUP-09,LOT-9232,993-JKL,JU7***********L3T
SUP-02,LOT-1565,280-DEF,JGX***********SJN
SUP-01,LOT-8071,906-JKL,GC3***********SF1
SUP-02,LOT-7004,930-DEF,X6U***********7X4
SUP-01,LOT-6113,971-ABC,64M***********RJ4
SUP-02,LOT-3362,662-DEF,LL5***********UEN
SUP-01,LOT-2389,662-DEF,A4G***********GXX
SUP-01,LOT-1884,570-JKL,RXJ***********0SW
SUP-02,LOT-7627,874-JKL,XCC***********Y7D
SUP-09,LOT-2630,990-ABC,305***********D65
SUP-02,LOT-8315,852-DEF,KPU***********4MV
SUP-01,LOT-5867,320-JKL,PT9***********Z65
SUP-01,LOT-3250,222-GHI,6P3***********J69
SUP-01,LOT-4440,872-ABC,ASE***********4UD
SUP-09,LOT-8458,120-ABC,16J***********48L
SUP-02,LOT-6511,882-GHI,D01***********U6X
SUP-09,LOT-7451,825-DEF,VMP***********3EJ
SUP-02,LOT-1828,915-DEF,12A***********DWG
SUP-02,LOT-2683,818-GHI,3VR***********XS3
SUP-01,LOT-6118,243-DEF,D0S***********BT2
SUP-09,LOT-5602,243-DEF,F4R***********7NZ
SUP-02,LOT-7498,224-GHI,F3M***********DX1
SUP-02,LOT-3903,881-ABC,V2F***********8KB
SUP-01,LOT-2582,231-DEF,E2G***********7AG
SUP-01,LOT-7913,631-ABC,53B***********3NL
SUP-01,LOT-5320,947-DEF,57C***********KKE
SUP-02,LOT-2865,356-DEF,283***********MJR
SUP-01,LOT-8852,195-DEF,8GA***********RF1
SUP-01,LOT-4432,142-GHI,PXV***********7H2
SUP-01,LOT-6485,402-ABC,W49***********0WF
SUP-09,LOT-4855,413-JKL,JR0***********TD4
SUP-02,LOT-3573,235-JKL,P9X***********9VD
SUP-02,LOT-7697,573-JKL,40J***********YK9
SUP-02,LOT-1201,165-GHI,4P1***********U8F
SUP-01,LOT-8611,712-DEF,EM7***********GPP
SUP-09,LOT-3999,716-ABC,58J***********4MT
SUP-09,LOT-1093,763-ABC,XL9***********JJJ
SUP-02,LOT-7758,741-DEF,63Z***********SN0
SUP-09,LOT-1541,530-ABC,S84***********ZWX
SUP-01,LOT-3483,419-GHI,WV0***********T8F
SUP-02,LOT-7562,136-GHI,4KJ***********SZC
SUP-02,LOT-1559,565-JKL,U1R***********ATU
SUP-02,LOT-1691,862-GHI,N4P***********2H0
SUP-09,LOT-1713,215-JKL,FUD***********08B
SUP-02,LOT-2088,307-GHI,ULR***********99W
SUP-02,LOT-7559,489-GHI,HZ8***********DM4
SUP-01,LOT-8499,175-DEF,8FR***********91V
SUP-01,LOT-5795,599-GHI,1EF***********YC5
SUP-01,LOT-7811,274-DEF,JNC***********0P1
SUP-09,LOT-9564,116-ABC,55T***********BPX
SUP-09,LOT-3849,634-ABC,EZ4***********GPM
SUP-09,LOT-1932,284-DEF,1FS***********YFH
SUP-09,LOT-1307,176-DEF,4S4***********8EM
SUP-01,LOT-3834,984-JKL,ND2***********4VV
SUP-09,LOT-7704,198-JKL,KAE***********TWY
SUP-09,LOT-4244,462-GHI,7Z8***********LLX
SUP-09,LOT-6626,408-GHI,F2Z***********5D2
SUP-09,LOT-9174,853-GHI,VK6***********L2K
SUP-02,LOT-5356,738-ABC,TV0***********UN8
SUP-02,LOT-6633,439-ABC,XKP***********TK3
SUP-02,LOT-5207,411-JKL,E2D***********ZPF
SUP-09,LOT-2828,131-JKL,9UX***********WBJ
SUP-01,LOT-4467,929-JKL,XPV***********1N4
SUP-09,LOT-8508,683-GHI,ZJN***********JRA
SUP-02,LOT-2641,277-GHI,A9A***********Y09
SUP-01,LOT-9455,647-ABC,6LK***********VLF
SUP-09,LOT-2290,271-DEF,9CB***********0UH
SUP-02,LOT-8026,546-ABC,CH9***********CU5
SUP-09,LOT-3075,444-JKL,3YR***********8BC
SUP-09,LOT-5692,310-GHI,U8J***********GET
SUP-01,LOT-2418,329-JKL,DTW***********EPR
SUP-09,LOT-2784,944-JKL,EAY***********PKD
SUP-02,LOT-3345,265-GHI,NMC***********LKT
SUP-01,LOT-8135,930-JKL,59A***********XV9
SUP-01,LOT-3003,909-DEF,7SL***********TWL
SUP-02,LOT-4540,140-ABC,JGA***********LET
SUP-09,LOT-5670,856-GHI,BWL***********TFS
SUP-01,LOT-8083,289-JKL,608***********HJG
SUP-09,LOT-9021,551-GHI,FML***********0LM
SUP-02,LOT-4670,277-ABC,C0H***********A6T
SUP-09,LOT-4661,179-ABC,0LM***********67Z
SUP-01,LOT-9517,219-ABC,NXT***********AWM
SUP-01,LOT-4439,175-GHI,J43***********WGJ
SUP-01,LOT-2528,496-ABC,KND***********BZS
SUP-09,LOT-7640,851-DEF,02N***********YBM
SUP-09,LOT-4428,810-DEF,8SE***********47G
SUP-09,LOT-3477,716-JKL,ZS5***********WYB
SUP-01,LOT-9086,910-GHI,9AA***********YD1
SUP-09,LOT-8482,649-ABC,F5C***********57L
SUP-02,LOT-5458,703-ABC,R7A***********8PD
SUP-02,LOT-9427,144-DEF,B6B***********EZL
SUP-09,LOT-7093,899-JKL,FT6***********TEE
SUP-02,LOT-1656,931-ABC,ZUV***********UG3
SUP-02,LOT-3179,653-JKL,UZ0***********TLT
SUP-01,LOT-4216,836-DEF,E8H***********464
SUP-09,LOT-9056,644-ABC,UBJ***********G3R
SUP-09,LOT-3495,107-DEF,WC7***********V6H
SUP-09,LOT-2140,774-ABC,6P9***********J1D
SUP-01,LOT-2587,642-JKL,YWY***********NYU
SUP-02,LOT-8914,278-GHI,XJ4***********5MA
SUP-09,LOT-3793,665-ABC,GJ9***********NA2
SUP-02,LOT-6935,902-JKL,BVG***********Y0D
SUP-02,LOT-9692,397-JKL,D9H***********4EA
SUP-09,LOT-7648,978-JKL,851***********C6T
SUP-09,LOT-7687,589-DEF,PW9***********F4M
SUP-09,LOT-2658,175-JKL,UT2***********MW1
SUP-01,LOT-8064,725-GHI,THP***********E47
SUP-02,LOT-4044,261-DEF,B11***********Y3R
SUP-09,LOT-7468,206-JKL,ULY***********3C4
SUP-01,LOT-8976,811-ABC,R5H***********RX4
SUP-02,LOT-5043,176-DEF,BC0***********DP9
SUP-01,LOT-1375,743-JKL,K6M***********T68
SUP-09,LOT-1414,622-JKL,TTJ***********TMJ
SUP-02,LOT-7742,472-DEF,818***********DB5
SUP-02,LOT-4439,553-DEF,2E7***********CHG
SUP-02,LOT-7997,939-JKL,25T***********HDG
SUP-09,LOT-3296,403-JKL,EJ1***********YF2
SUP-02,LOT-7932,663-ABC,UML***********SUG
SUP-02,LOT-8439,562-ABC,ZYA***********7HG
SUP-01,LOT-8322,310-DEF,LLN***********0T1
SUP-09,LOT-6953,798-GHI,C4U***********VVD
SUP-09,LOT-7317,871-ABC,F8L***********MA6
SUP-01,LOT-1866,365-ABC,XTS***********ERZ
SUP-09,LOT-5353,833-JKL,WYH***********GFJ
SUP-09,LOT-5643,259-ABC,LSY***********50W
SUP-09,LOT-2040,804-GHI,3XY***********RJ7
SUP-09,LOT-5507,841-ABC,XPZ***********XW0
SUP-02,LOT-2734,627-ABC,8MA***********JMR
SUP-02,LOT-8837,297-GHI,NNV***********M4X
SUP-02,LOT-9786,856-GHI,1KY***********813
SUP-02,LOT-9853,228-JKL,9YK***********9RU
SUP-01,LOT-9201,719-JKL,E4F***********SJJ
SUP-01,LOT-5702,955-GHI,2PN***********VTX
SUP-09,LOT-4070,109-GHI,WT3***********ZUD
SUP-01,LOT-2639,262-ABC,M83***********7FR
SUP-02,LOT-5276,962-JKL,NK6***********JFH
SUP-09,LOT-6789,725-JKL,7FM***********YLG
SUP-02,LOT-4167,704-ABC,3D6***********AGG
SUP-01,LOT-8921,484-GHI,YMU***********S0Z
SUP-09,LOT-2777,907-GHI,4U0***********RYC
SUP-01,LOT-4075,407-GHI,EUT***********XGC
SUP-02,LOT-6879,194-GHI,L39***********C3A
SUP-09,LOT-1068,542-GHI,9WC***********8TM
SUP-01,LOT-1326,887-DEF,EGJ***********USE
SUP-01,LOT-4579,837-DEF,70U***********3V7
SUP-01,LOT-2996,696-JKL,SEF***********DRK
SUP-01,LOT-1725,523-GHI,4HW***********3C9
SUP-01,LOT-8006,868-GHI,Y6X***********XPT
SUP-02,LOT-8184,785-DEF,BBY***********7P8
SUP-09,LOT-1254,681-GHI,ZRF***********FKW
SUP-01,LOT-3437,602-DEF,M16***********LLH
SUP-02,LOT-9168,500-GHI,CDF***********S25
SUP-02,LOT-4039,718-JKL,NVN***********FCR
SUP-09,LOT-2933,527-ABC,R1H***********6VP
SUP-01,LOT-4077,739-DEF,GZ2***********HAL
SUP-02,LOT-8658,203-ABC,Y3G***********NBU
SUP-02,LOT-9246,190-ABC,ZB7***********92W
SUP-01,LOT-6811,975-JKL,0PB***********M9R
SUP-01,LOT-9190,609-DEF,WHA***********5YT
SUP-09,LOT-7100,213-DEF,L48***********L1R
SUP-09,LOT-5007,558-ABC,X99***********E2V
SUP-09,LOT-5883,736-DEF,Z2A***********PBW
SUP-01,LOT-6010,301-JKL,GNC***********KA4
SUP-01,LOT-2838,822-GHI,ZBS***********ZH4
SUP-02,LOT-9386,294-GHI,968***********1L4
SUP-01,LOT-2680,599-GHI,1WL***********42D
SUP-09,LOT-2947,292-ABC,W0J***********0RU
SUP-09,LOT-7916,719-GHI,WPW***********BXP
SUP-09,LOT-6849,926-DEF,50A***********F8D
SUP-02,LOT-3597,636-DEF,YGM***********RSW
SUP-01,LOT-2006,870-DEF,97A***********A83
SUP-02,LOT-2751,225-GHI,AAT***********GBR
SUP-09,LOT-9650,832-ABC,CNZ***********38S
SUP-01,LOT-8507,123-GHI,F4S***********EWH
SUP-02,LOT-6037,163-GHI,H5J***********DMW
SUP-09,LOT-6694,265-JKL,YV3***********V8Y
SUP-01,LOT-4674,194-DEF,R4X***********VR5
SUP-09,LOT-4314,851-DEF,9JN***********0EM
SUP-01,LOT-2213,268-GHI,H4S***********EFZ
SUP-01,LOT-8252,248-DEF,1AP***********H3R
SUP-01,LOT-2378,645-JKL,K3R***********Z3H
SUP-09,LOT-6145,106-ABC,1RT***********H02
SUP-09,LOT-4965,901-GHI,LAK***********5GZ
SUP-09,LOT-4605,633-ABC,EYH***********KSN
SUP-02,LOT-3805,266-GHI,FYL***********DAD
SUP-02,LOT-8365,967-ABC,4L4***********D1E
SUP-09,LOT-9761,915-JKL,VK7***********52F
SUP-01,LOT-4743,406-DEF,ULC***********SMU
SUP-09,LOT-3412,792-ABC,ALM***********RM9
SUP-09,LOT-4023,325-DEF,FMS***********2YS
SUP-09,LOT-6282,991-DEF,28Z***********P16
SUP-09,LOT-4328,431-JKL,WLR***********4X5
SUP-01,LOT-9507,835-GHI,625***********AG6
SUP-09,LOT-4651,446-GHI,TNW***********9GC
SUP-01,LOT-3172,980-DEF,N8N***********XM9
SUP-01,LOT-5149,897-JKL,BB6***********GEW
SUP-02,LOT-6003,536-JKL,VE6***********3EE
SUP-01,LOT-7934,498-ABC,BNL***********VA9
SUP-02,LOT-8968,316-JKL,X65***********CZ8
SUP-02,LOT-5246,362-JKL,3XB***********NBZ
SUP-01,LOT-8338,562-ABC,378***********8W2
SUP-01,LOT-2136,523-JKL,5SL***********9EF
SUP-01,LOT-6896,117-GHI,4L1***********M6Z
SUP-01,LOT-1387,990-GHI,GRF***********FKB
SUP-02,LOT-2696,925-DEF,VGW***********FHW
SUP-02,LOT-9469,285-JKL,SK6***********3WY
SUP-01,LOT-8460,945-ABC,W1L***********2TX
SUP-01,LOT-7734,215-DEF,FYE***********LX7
SUP-02,LOT-1536,228-ABC,ZTF***********TXV
SUP-09,LOT-8888,652-ABC,40G***********ZWG
SUP-01,LOT-9452,294-ABC,LCU***********RJW
SUP-01,LOT-7119,863-DEF,J4B***********GSE
SUP-09,LOT-8676,563-ABC,886***********S9G
SUP-09,LOT-7442,591-GHI,518***********KE3
SUP-01,LOT-4618,379-ABC,L16***********DMU
SUP-02,LOT-9954,586-ABC,PJM***********3PZ
SUP-01,LOT-6642,105-DEF,EF7***********GVC
SUP-02,LOT-2840,847-JKL,SRU***********51W
SUP-01,LOT-6341,903-DEF,MVX***********LJF
SUP-09,LOT-6003,381-ABC,TDM***********GUA
SUP-09,LOT-9039,186-JKL,1KB***********KBX
SUP-09,LOT-8094,131-JKL,EWF***********HG4
SUP-02,LOT-6892,300-JKL,V14***********DZ7
SUP-09,LOT-2456,109-DEF,LCR***********9E7
SUP-01,LOT-7981,542-JKL,UL7***********J4U
SUP-02,LOT-7280,188-JKL,7ZJ***********W7M
SUP-02,LOT-9832,761-JKL,WG7***********JHC
SUP-09,LOT-9631,549-DEF,X5A***********68H
SUP-09,LOT-4913,404-DEF,KY7***********BYD
SUP-09,LOT-8753,628-JKL,SEJ***********FEB
SUP-01,LOT-5407,550-ABC,DG8***********XY1
SUP-01,LOT-6436,973-DEF,TGC***********5GR
SUP-02,LOT-8137,801-ABC,2D2***********02G
SUP-01,LOT-6829,722-JKL,08Z***********DEV
SUP-01,LOT-9043,740-ABC,CP7***********VKE
SUP-02,LOT-8905,954-ABC,527***********EL2
SUP-02,LOT-4347,204-GHI,CSB***********4ZH
SUP-02,LOT-9502,212-JKL,GA5***********7E1
SUP-01,LOT-9950,731-GHI,4D0***********RT3
SUP-01,LOT-1938,546-ABC,RXG***********ACV
SUP-01,LOT-4441,983-ABC,ZWV***********ZTL
SUP-02,LOT-8654,647-ABC,0JY***********JCW
SUP-01,LOT-9053,210-GHI,0LJ***********RX6
SUP-09,LOT-7071,611-JKL,5E6***********M6U
SUP-02,LOT-4716,782-JKL,HMG***********A4H
SUP-02,LOT-3482,976-DEF,FR4***********90Z
SUP-01,LOT-8853,425-JKL,0PW***********3GZ
SUP-01,LOT-7810,820-DEF,X0E***********XBE
SUP-01,LOT-4330,475-ABC,MJP***********KFM
SUP-09,LOT-6913,440-GHI,ZRG***********N1U
SUP-02,LOT-7202,467-DEF,RYS***********1X3
SUP-09,LOT-5913,283-GHI,WNR***********BEB
SUP-01,LOT-1315,417-DEF,LZB***********7CU
SUP-09,LOT-2002,413-ABC,KYT***********04Y
SUP-09,LOT-9505,484-ABC,NRR***********SVB
SUP-09,LOT-9201,986-GHI,377***********SP2
SUP-09,LOT-3958,906-ABC,X04***********ANC
SUP-09,LOT-8748,936-ABC,VVF***********ECS
SUP-01,LOT-9102,414-GHI,F1R***********6XL
SUP-02,LOT-1192,659-GHI,BUR***********7HY
SUP-01,LOT-8305,311-GHI,23A***********UNZ
SUP-01,LOT-3409,307-DEF,X49***********67J
SUP-02,LOT-6610,548-GHI,4VA***********ENE
SUP-01,LOT-5922,823-DEF,6YW***********MES
SUP-02,LOT-1540,396-JKL,B2D***********Z5F
SUP-01,LOT-2181,365-DEF,RXX***********NS7
SUP-01,LOT-5348,823-DEF,7EG***********WG7
SUP-01,LOT-9814,352-JKL,KTD***********KP2
SUP-01,LOT-3764,154-DEF,83P***********WF9
SUP-09,LOT-6020,266-JKL,GPT***********C5K
SUP-09,LOT-7741,774-GHI,KPV***********TXF
SUP-09,LOT-7669,100-ABC,0T3***********9JX
SUP-02,LOT-3959,905-GHI,L5F***********PLV
SUP-02,LOT-5330,647-JKL,7MR***********XY0
SUP-02,LOT-9209,261-GHI,CKL***********98S
SUP-02,LOT-5251,827-JKL,H2C***********CFY
SUP-02,LOT-1367,583-GHI,UWS***********90M
SUP-09,LOT-6387,272-GHI,D9H***********0EK
SUP-01,LOT-1848,939-DEF,V3F***********JHE
SUP-01,LOT-7112,521-GHI,NAH***********ZAK
SUP-09,LOT-8883,813-DEF,A8Z***********XK5
SUP-01,LOT-9965,858-GHI,T72***********S9X
SUP-01,LOT-9943,236-GHI,0TV***********WJY
SUP-01,LOT-4258,108-ABC,CEN***********WUC
SUP-02,LOT-6142,289-ABC,DRM***********HGV
SUP-01,LOT-6759,428-DEF,681***********GJE
SUP-01,LOT-7739,909-DEF,TKY***********H5Z
SUP-01,LOT-6780,492-GHI,669***********W6F
SUP-01,LOT-9850,864-JKL,ZZF***********E3L
SUP-09,LOT-6162,654-GHI,DPV***********1S9
SUP-02,LOT-6707,739-DEF,YWC***********7H7
SUP-01,LOT-1125,416-DEF,JHK***********DZT
SUP-09,LOT-8764,109-GHI,G7N***********H2H
SUP-01,LOT-6922,140-GHI,KF1***********0YN
SUP-09,LOT-8385,728-JKL,ZVX***********75B
SUP-01,LOT-1011,387-DEF,BNH***********8RM
SUP-09,LOT-5673,811-GHI,CE5***********HYE
SUP-01,LOT-7017,401-JKL,8XA***********47R
SUP-01,LOT-4471,321-ABC,VSF***********WRY
SUP-09,LOT-3778,500-GHI,CCV***********0D5
SUP-09,LOT-9596,699-JKL,0UF***********XAD
SUP-02,LOT-8610,994-JKL,12C***********23K
SUP-02,LOT-3494,181-GHI,UBG***********7RD
SUP-01,LOT-5284,551-GHI,9U5***********J79
SUP-02,LOT-2539,574-GHI,3LM***********37Y
SUP-01,LOT-8002,177-JKL,9ZG***********KK3
SUP-02,LOT-4677,357-GHI,YKE***********EFJ
SUP-09,LOT-9906,242-ABC,VDY***********NW2
SUP-09,LOT-9604,146-DEF,0WZ***********M8S
SUP-01,LOT-9837,610-ABC,B7X***********TR8
SUP-01,LOT-2518,780-ABC,0DE***********9J7
SUP-09,LOT-2714,732-JKL,WBT***********17U
SUP-01,LOT-6742,551-JKL,1VS***********JJ5
SUP-09,LOT-6765,629-ABC,LC8***********535
SUP-02,LOT-1054,314-GHI,YVA***********XMD
SUP-02,LOT-6198,363-GHI,JYK***********XLT
SUP-02,LOT-4022,411-JKL,ZBD***********VXA
SUP-02,LOT-1616,911-DEF,2RE***********WXB
SUP-09,LOT-2489,112-JKL,GTU***********SEF
SUP-01,LOT-7883,267-ABC,U0Y***********JPT
SUP-09,LOT-4657,783-JKL,TDP***********LA1
SUP-02,LOT-4393,267-ABC,XDM***********LHS
SUP-02,LOT-4060,351-ABC,MKG***********KC0
SUP-02,LOT-2804,818-GHI,AWU***********08K
SUP-02,LOT-1147,126-GHI,X7U***********AEV
SUP-01,LOT-7125,853-ABC,EJM***********EMH
SUP-02,LOT-7016,637-GHI,5L2***********48T
SUP-01,LOT-2144,890-ABC,GX5***********ULC
SUP-02,LOT-6778,625-JKL,JF7***********84U
SUP-02,LOT-7200,572-DEF,35K***********EKJ
SUP-01,LOT-9436,938-GHI,512***********WPY
SUP-01,LOT-4729,909-GHI,4B5***********L1B
SUP-01,LOT-7051,210-DEF,6EW***********339
SUP-02,LOT-3493,571-GHI,YKR***********GBD
SUP-01,LOT-7320,524-DEF,7VT***********ULH
SUP-01,LOT-2304,497-DEF,U0M***********WLL
SUP-01,LOT-9301,376-ABC,407***********3WJ
SUP-02,LOT-1672,483-DEF,XLB***********V5F
SUP-09,LOT-2347,366-ABC,HKM***********70E
SUP-01,LOT-1055,749-JKL,2H8***********6DP
SUP-02,LOT-1509,166-DEF,KAS***********8TC
SUP-09,LOT-8304,671-DEF,VMV***********HWC
SUP-01,LOT-4133,282-JKL,BDM***********20A
SUP-02,LOT-7619,384-ABC,XLK***********4T9
SUP-09,LOT-4785,136-JKL,2DJ***********BS0
SUP-01,LOT-9097,466-GHI,S59***********YWF
SUP-02,LOT-7916,161-GHI,PDA***********UT6
SUP-09,LOT-5648,908-DEF,VXV***********YHP
SUP-02,LOT-5749,156-ABC,DYC***********TNN
SUP-02,LOT-3795,209-ABC,MHH***********M01
SUP-02,LOT-5925,417-DEF,NXA***********H5N
SUP-09,LOT-1063,521-ABC,N2P***********4GG
SUP-01,LOT-4404,935-ABC,RSJ***********8H0
SUP-02,LOT-7489,440-DEF,RKK***********63B
SUP-09,LOT-2454,846-GHI,UKT***********KWN
SUP-02,LOT-9756,299-GHI,ZSL***********XYR
SUP-02,LOT-4806,302-ABC,RTM***********ENW
SUP-09,LOT-2686,666-ABC,FLE***********9M0
SUP-02,LOT-3786,795-GHI,X1S***********CBC
SUP-01,LOT-2284,600-DEF,8ZP***********KT0
SUP-02,LOT-9740,887-JKL,AWR***********SC1
SUP-01,LOT-8282,834-DEF,KR8***********S7K
SUP-02,LOT-8519,981-ABC,KJ8***********GKX
SUP-09,LOT-4317,232-ABC,Y4M***********G2S
SUP-09,LOT-8623,248-GHI,41D***********83M
SUP-09,LOT-4531,743-JKL,Y7Z***********5N9
SUP-02,LOT-9827,130-ABC,1FW***********5NF
SUP-02,LOT-1287,422-GHI,FJR***********BJR
SUP-01,LOT-8565,483-DEF,SPT***********H6M
SUP-09,LOT-8964,798-GHI,P6B***********7EB
SUP-01,LOT-6053,466-ABC,H5G***********VUP
SUP-02,LOT-1665,767-JKL,L84***********ACN
SUP-01,LOT-1671,128-GHI,YVC***********718
SUP-01,LOT-3120,577-ABC,9E8***********ARL
SUP-09,LOT-5692,819-DEF,MDC***********P4V
SUP-09,LOT-3338,799-GHI,32A***********419
SUP-02,LOT-1832,470-JKL,3XC***********T5E
SUP-02,LOT-8247,724-ABC,E12***********MMJ
SUP-02,LOT-8334,414-JKL,9W1***********WNT
SUP-02,LOT-1769,392-JKL,CE1***********9U0
SUP-09,LOT-9350,644-ABC,2L9***********94D
SUP-09,LOT-8217,556-DEF,B7R***********GMP
SUP-02,LOT-8551,567-JKL,83V***********PYB
SUP-02,LOT-6103,741-GHI,BJT***********J2R
