Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Temp,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier,VIN,WO,Rework_Flag,Scrap_Reason,Calibration_Factor,Shift
3613,ga-1, STN-06 ,2026-03-11 12:06,421ghi,BOM-2,47.1 Nm,71.7C,10.2 bar,72.68,Repair,Human,TL-007,sup-02,LLJKRMY58R5RHP010,WO-27141,0,Torque Out of Spec,1.0197,Morning
3614, Ga-2 , STN-07 ,2026/03/11 12:06,910ghi,BOM-1,47.7 Nm,160.6F,9.9 bar,67.13,REP,HUMAN,TL-014,SUP-09,VJNVKD1X7XSSBMA4R,WO-57556,0,,1.0178,Morning
3615,ga-1,stn-07,2026-03-11 12:07,331ghi,BOM-3,40.7,73.2,11.1 bar,76.19,None,HUMAN,TL-002,SUP-01,W7PLJRSY2E5LJ9LNL,WO-47843,0,,1.0231,Morning
3616,ga-1,stn-03,11-03-2026 12:07,393-abc,BOM-2,54.3Nm,82.6,172.4psi,63.46,Reject,automated,TL-009,SUP-02,Y2LSGTYGD7BBUF9ZW,WO-91586,0,Visual Defect,0.9844,Morning
3617,ga-2,STN-05,11-03-2026 12:08,872-def,BOM-2,56.0Nm,85.2,173.8psi,57.96,Repair,automated,TL-008,sup-01,INVALID847,WO-71104,0,,1.0207,Evening
3618,GA-1, STN-03 ,11-03-2026 12:08,362-def,BOM-3,46.5 Nm,65.9 c,175.9psi,68.56,REP,human,TL-004,SUP-01,CXKD9DP92RYUUCXLS,WO-28444,0,,1.0054,Morning
3619, Ga-2 ,stn-02,11-03-2026 12:09,392-def,BOM-2,51.7Nm,75.0C,8.9 bar,46.33,REP,Human,TL-002,sup-02,INVALID727,WO-96107,0,Leak Detected,0.9833,Morning
3620,ga-2,STN-03,2026-03-11 12:09,206ghi,BOM-3,48.7,180.4F,113.9psi,42.9,None,automated,TL-010,sup-01,4NZBY9VG2P4LU2LV7,WO-39616,0,Torque Out of Spec,1.0093,Night
3621,GA-1, STN-03 ,11-03-2026 12:10,817abc,BOM-2,51.6Nm,71.0,11.4 bar,69.76,REJ,Automated,TL-002,sup-01,ZFBAJAXY0U3VJTJ4Z,WO-67557,0,Temperature High,1.0087,Evening
3622,GA-1,STN-02,2026-03-11 12:10,616-DEF,BOM-3,46.9,84.3C,12.1 bar,62.11,REJ,HUMAN,TL-015,sup-02,FGXNXNGM0XLDY19AL,WO-18763,0,,1.0308,Night
3623,GA-2,stn-03,2026/03/11 12:11,635ghi,BOM-2,45.6Nm,76.9,12.3 bar,69.64,REP,automated,TL-007,SUP-02,W7Z90NKKEERFTT4PN,WO-48895,0,Temperature High,1.0239,Morning
3624,ga-2,STN-01,,873DEF,BOM-1,55.3 Nm,72.8 c,10.7 bar,51.48,REP,human,TL-006,sup-02,P3WKT8JMBTEW88SBS,WO-63953,0,Visual Defect,0.9862,Evening
3625,GA-2, STN-04 ,11-03-2026 12:12,147ABC,BOM-1,49.7,80.5 c,7.0 bar,72.85,None,Automated,TL-003,SUP-01,D6RDJX6M2LJKKSZRP,WO-81816,0,Temperature High,1.0068,Night
3626,ga-1,stn-07,2026/03/11 12:12,693-ghi,BOM-1,60.1 Nm,183.1F,10.5 bar,66.7,REJ,HUMAN,TL-012,sup-01,L8HS6APBDYKGL79HN,WO-23951,0,Torque Out of Spec,1.0066,Morning
3627,ga-2,stn-04,11-03-2026 12:13,966ABC,BOM-3,50.2,71.5C,10.8 bar,59.69,OK,automated,TL-005,SUP-09,6KB3824ERX46T5G6E,WO-52751,0,,1.005,Morning
3628, Ga-1 ,STN-02,11-03-2026 12:70,466-GHI,BOM-3,45.4Nm,77.6 c,11.9 bar,62.07,na,AUTO,TL-014,SUP-01,A63BHHU14EKSMNHEG,WO-39676,0,Leak Detected,0.9939,Evening
3629,ga-2, STN-05 ,11-03-2026 12:14,423ghi,BOM-1,56.1 Nm,84.7,12.1 bar,63.47,OK,Automated,TL-024,sup-01,BGDE7F9CH2M1SY2V2,WO-97071,0,Leak Detected,1.0351,Evening
3630,ga-2,stn-03,11-03-2026 12:14,,BOM-1,53.2 Nm,162.3F,11.4 bar,51.43,REJ,HUMAN,TL-018,SUP-01,GHRNK61E66N9SNU,WO-78057,0,Leak Detected,0.9875,Night
3631, Ga-1 , STN-06 ,2026-03-11 12:15,855DEF,BOM-3,53.6,63.4 c,9.1 bar,56.15,Repair,Automated,TL-003,SUP-02,ME6CZSJD7K2R1YEWL,WO-49281,0,,1.0333,Morning
3632, Ga-2 , STN-02 ,2026-03-11 12:15,332ghi,BOM-3,,64.6,8.5 bar,63.31,None,AUTO,TL-003,sup-09,12WYL1X36FTDLJ0P3,WO-87918,0,Torque Out of Spec,0.9715,Morning
3633,ga-2, STN-04 ,,636ghi,BOM-1,46.7Nm,75.8 c,10.8 bar,55.75,OK,Human,TL-022,sup-01,INVALID658,WO-12632,0,,0.9924,Morning
3634,GA-2,STN-03,2026/03/11 12:16,733-DEF,BOM-1,49.4 Nm,152.3F,8.8 bar,45.31,OK,Automated,TL-021,SUP-02,BU1XUSUF0SVUZ3E9L,WO-55624,0,Leak Detected,1.0153,Morning
3635,ga-2, STN-02 ,11-03-2026 12:17,910def,BOM-2,49.1 Nm,76.5 c,12.2 bar,62.95,Repair,automated,TL-009,sup-01,INVALID901,WO-62149,1,Torque Out of Spec,0.9789,Evening
3636,GA-2,STN-04,2026/03/11 12:17,418-def,BOM-2,43.5Nm,206.0F,7.4 bar,68.36,na,Human,TL-011,sup-02,VBY6R121KNFFCM7FV,WO-86037,0,Torque Out of Spec,0.9853,Night
3637, Ga-2 , STN-02 ,2026-03-11 12:18,573-ghi,BOM-1,48.7 Nm,151.2F,10.9 bar,70.69,Repair,Human,TL-010,sup-09,B7Z8ENHR8156Y30KV,WO-83700,0,Temperature High,1.0107,Evening
3638,ga-2, STN-07 ,2026/03/11 12:18,126abc,BOM-2,56.7 Nm,,151.9psi,65.32,REP,human,TL-014,sup-02,6KCCV4H25H5G2NRM5,WO-36882,0,,0.9654,Morning
3639,GA-2, STN-05 ,2026-03-11 12:19,178-ghi,BOM-2,51.2Nm,101.3 c,140.5psi,68.18,REP,automated,TL-006,SUP-02,ZTWC2TH8MJ,WO-38579,0,Leak Detected,1.0221,Night
3640, Ga-1 , STN-04 ,2026/03/11 12:19,820DEF,BOM-3,43.3,183.3F,124.9psi,69.88,OK,automated,TL-023,sup-01,2R3C8NAVGFZVSRM,WO-85187,0,Temperature High,1.0296,Evening
3641, Ga-2 ,stn-04,2026-03-11 12:20,426def,BOM-3,42.2,76.3 c,6.9 bar,60.8,,AUTO,TL-010,SUP-01,5A72009BZ0TKD9RR3,WO-20102,0,Temperature High,1.0304,Morning
3642, Ga-1 ,stn-05,11-03-2026 12:20,889-ABC,BOM-1,58.3,78.4C,9.2 bar,38.81,None,AUTO,TL-005,SUP-02,LT7V1LZDL5YPA8LT2,WO-16841,0,Leak Detected,1.0065,Night
3643,GA-1, STN-02 ,2026-03-11 12:21,221-def,BOM-2,49.5,,9.2 bar,71.6,na,automated,TL-008,sup-09,5G3MXVC6HEWA39CGL,WO-49047,0,Leak Detected,0.9914,Evening
3644, Ga-2 ,stn-05,2026/03/11 12:21,516-abc,BOM-3,46.8Nm,97.0C,11.7 bar,51.07,REP,automated,TL-022,sup-09,R673T87GWXDNY9HGE,WO-23379,0,,0.9928,Morning
3645, Ga-2 ,stn-05,2026/03/11 12:22,391abc,BOM-1,48.6Nm,74.7C,128.0psi,48.69,None,AUTO,TL-007,SUP-02,Z8G4XUJM53UA4URRP,WO-85360,0,,1.0057,Evening
3646,ga-2,stn-02,11-03-2026 12:22,783def,BOM-3,42.6 Nm,72.4C,154.8psi,48.97,Reject,HUMAN,TL-020,SUP-09,0HV76LV3YMFFVA7DX,WO-90180,0,Visual Defect,1.0026,Morning
3647, Ga-1 , STN-04 ,2026-03-11 12:23,629GHI,BOM-2,57.1,151.2F,8.1 bar,84.85,Repair,automated,TL-019,sup-01,DN7L7AB9Z5A83N0HA,WO-58001,1,Visual Defect,0.9924,Morning
3648, Ga-1 ,STN-03,2026/03/11 12:23,541def,BOM-3,48.0,177.9F,10.7 bar,64.41,na,automated,TL-024,SUP-09,AZR312RE2UACHWUEG,WO-51143,0,Torque Out of Spec,1.0317,Evening
3649, Ga-2 , STN-01 ,2026/03/11 12:24,281ghi,BOM-2,56.8,65.9 c,6.6 bar,49.58,Reject,human,TL-004,SUP-09,WX3C3B7BW77STX87S,WO-31348,0,,0.9951,Morning
3650, Ga-1 ,stn-07,2026-03-11 12:24,694GHI,BOM-3,50.3Nm,167.7F,190.6psi,53.17,REP,Automated,TL-010,sup-09,33HS58UEW8B21NRVC,WO-12332,0,Leak Detected,1.0287,Morning
3651, Ga-1 ,stn-07,,244abc,BOM-1,57.1Nm,,9.8 bar,59.99,None,automated,TL-021,sup-01,X02F9XRVC6RF,WO-47870,0,Visual Defect,1.002,Evening
3652,ga-2,stn-05,2026-03-11 12:25,173def,BOM-3,51.3,90.7 c,5.8 bar,65.42,na,Automated,TL-004,sup-02,A1ZF2H6S96E0K86JA,WO-99912,0,,1.0008,Night
3653,GA-1,STN-01,11-03-2026 12:26,182-ABC,BOM-2,54.3 Nm,166.8F,8.9 bar,62.79,Reject,Automated,TL-001,SUP-01,INVALID682,WO-65996,1,,1.0104,Evening
3654,GA-2,STN-05,2026-03-11 12:26,484-ghi,BOM-3,53.6 Nm,84.0 c,8.7 bar,50.71,OK,human,TL-001,sup-02,INVALID751,WO-56311,0,Torque Out of Spec,1.0101,Morning
3655,ga-2,STN-04,11-03-2026 12:27,730-def,BOM-3,53.1,147.1F,9.0 bar,63.17,Repair,Human,TL-002,SUP-02,87EBACX7KTR6RKJF8,WO-80752,0,Leak Detected,0.9971,Night
3656,ga-1,STN-04,2026-03-11 12:27,526-ghi,BOM-2,51.7 Nm,81.3,137.1psi,53.89,REP,Automated,TL-020,sup-09,U102XF5YTCGA,WO-16664,0,Temperature High,1.0113,Morning
3657,ga-2,STN-05,2026/03/11 12:28,597-ghi,BOM-2,48.8Nm,68.0 c,9.0 bar,70.47,REJ,HUMAN,TL-009,SUP-09,VMR2479J668YHKN6L,WO-33989,0,Temperature High,1.0138,Morning
3658, Ga-1 ,stn-05,11-03-2026 12:28,358-def,BOM-3,59.6,75.7,8.8 bar,60.56,Reject,AUTO,TL-004,SUP-01,H8B444DKL2,WO-59281,0,Temperature High,1.0331,Evening
3659, Ga-1 ,stn-06,2026/03/11 12:29,441DEF,BOM-2,45.5 Nm,215.8F,8.3 bar,52.41,OK,automated,TL-017,sup-01,SAM3FYTJ459AJ7LYR,WO-69122,0,Visual Defect,1.0014,Morning
3660, Ga-2 , STN-05 ,2026/03/11 12:29,468-abc,BOM-3,50.0 Nm,192.8F,162.9psi,66.89,Reject,Human,TL-008,SUP-01,SDYN87T2X37HTRKNJ,WO-93629,0,Torque Out of Spec,0.9844,Night
3661, Ga-2 ,STN-02,2026/03/11 12:30,423-ghi,BOM-3,50.1 Nm,78.7,11.8 bar,63.83,Repair,Human,TL-004,SUP-09,HKZ40GBDP2A6ECAE7,WO-34029,0,,0.9864,Night
3662,GA-2,stn-07,2026-03-11 12:30,405-ghi,BOM-2,52.0 Nm,112.0 c,139.5psi,55.25,Repair,HUMAN,TL-024,sup-01,G35BNZ42E9K4XJY74,WO-36097,0,Temperature High,1.0474,Evening
3663, Ga-2 ,stn-04,2026-03-11 12:31,812ghi,BOM-2,47.9Nm,159.5F,10.0 bar,67.3,REJ,human,TL-015,sup-09,K367X1PCZT8DG8,WO-14629,0,Temperature High,0.9624,Night
3664,ga-2, STN-04 ,2026/03/11 12:31,850DEF,BOM-1,51.6 Nm,91.7C,8.3 bar,66.29,na,Automated,TL-011,sup-09,AWYPZM1Y9CZZNJC69,WO-73342,1,Torque Out of Spec,0.9762,Morning
3665,ga-1, STN-01 ,2026/03/11 12:32,646-DEF,BOM-3,49.2 Nm,148.4F,10.1 bar,72.02,REP,HUMAN,TL-023,sup-02,23J1US2LLXDUCM97D,WO-64028,0,Visual Defect,1.0005,Night
3666, Ga-2 , STN-06 ,2026/03/11 12:32,804ghi,BOM-1,42.1Nm,77.6,150.0psi,67.1,Repair,human,TL-006,sup-01,JVPTVCDDXKU1L0H0L,WO-62826,0,,0.9877,Evening
3667,ga-1, STN-06 ,2026-03-11 12:33,294ABC,BOM-2,50.0 Nm,66.5,9.7 bar,57.86,Reject,Automated,TL-015,sup-09,INVALID920,WO-50228,0,,1.0164,Night
3668, Ga-1 ,STN-02,11-03-2026 12:33,912ABC,BOM-3,44.5 Nm,82.6C,10.6 bar,43.09,REP,Human,TL-019,SUP-01,HSF3XR7DKSHFXKUNZ,WO-58347,0,,1.0146,Morning
3669, Ga-2 , STN-05 ,,984ghi,BOM-2,41.3,80.6 c,10.5 bar,61.87,REJ,HUMAN,TL-001,SUP-01,2WSA3LX48443L8CP3,WO-73226,1,Visual Defect,0.9893,Morning
3670, Ga-2 ,STN-02,2026/03/11 12:34,775ABC,BOM-3,,76.9C,8.4 bar,63.42,REJ,HUMAN,TL-007,sup-09,EM78DRKEAZ6DVV141,WO-49343,0,Visual Defect,1.0301,Morning
3671,GA-1,stn-07,2026-03-11 12:35,402abc,BOM-1,52.4 Nm,90.9 c,170.9psi,60.51,Repair,AUTO,TL-003,sup-01,SPRDZHYLDWCF02SET,WO-92038,0,Visual Defect,0.9779,Evening
3672,ga-2,stn-01,2026-03-11 12:35,876-GHI,BOM-1,52.6,74.3,9.7 bar,29.89,Reject,AUTO,TL-013,SUP-02,F6RRLKY5W58D331KB,WO-49516,0,,0.9853,Evening
3673, Ga-2 , STN-02 ,2026-03-11 12:36,899-ghi,BOM-1,52.8Nm,181.9F,12.5 bar,66.79,REP,automated,TL-017,sup-02,78XL79LFHKEWEHYYH,WO-58293,0,,1.0314,Morning
3674, Ga-1 , STN-04 ,2026/03/11 12:36,400GHI,BOM-3,40.3Nm,190.8F,10.6 bar,50.88,REP,automated,TL-004,sup-02,3MSYD7HPLR4CMYZHA,WO-75636,0,Torque Out of Spec,0.9739,Night
3675, Ga-1 ,stn-04,2026/03/11 12:37,100-abc,BOM-2,43.2Nm,65.2 c,187.9psi,66.86,REP,human,TL-004,SUP-01,L4GNGDKCNBL4ZVHLK,WO-64865,0,Temperature High,1.0069,Evening
3676, Ga-1 ,STN-05,2026/03/11 12:37,223GHI,BOM-1,59.9,,11.8 bar,77.01,Repair,HUMAN,TL-012,sup-01,B1RHXZRMWGHGCAXYN,WO-37767,0,Torque Out of Spec,1.0314,Night
3677, Ga-1 , STN-04 ,11-03-2026 12:38,372DEF,BOM-3,44.8 Nm,80.5 c,10.3 bar,57.47,REJ,Automated,TL-010,SUP-01,DWC1F5TE0WAM7D8CL,WO-63915,0,Leak Detected,0.948,Evening
3678,GA-1,STN-04,2026-03-11 12:38,736abc,BOM-2,53.1 Nm,86.3,8.9 bar,64.38,REP,HUMAN,TL-003,SUP-01,05MBLMSJTT25ATSES,WO-25289,0,Leak Detected,0.9932,Night
3679, Ga-1 , STN-01 ,2026/03/11 12:39,347-def,BOM-1,46.6,94.2C,8.9 bar,60.33,Repair,human,TL-017,SUP-02,INVALID174,WO-70567,0,Leak Detected,1.019,Night
3680,ga-1,STN-02,2026/03/11 12:39,324-abc,BOM-3,50.4 Nm,77.8C,156.6psi,65.26,None,Human,TL-019,sup-01,M3F3YM40UKPZW8PFX,WO-87242,0,Torque Out of Spec,0.9946,Night
3681,GA-2, STN-06 ,11-03-2026 12:40,918ABC,BOM-1,46.8Nm,76.8 c,10.2 bar,61.03,Reject,Human,TL-011,sup-01,Z1S624R3GJM5P903V,WO-66024,0,,1.0012,Night
3682,GA-2, STN-02 ,2026-03-11 12:40,251-abc,BOM-3,52.8 Nm,71.3C,9.1 bar,54.83,Reject,AUTO,TL-009,sup-02,R5TSWJ7CWVLMNVBVK,WO-87533,0,Torque Out of Spec,1.0038,Evening
3683,ga-2,stn-05,11-03-2026 12:41,,BOM-1,50.7Nm,83.3,163.1psi,50.95,REJ,AUTO,TL-004,SUP-01,INVALID339,WO-31454,0,,1.0063,Night
3684,GA-1,stn-01,11-03-2026 12:41,884-def,BOM-2,47.8Nm,77.0 c,10.1 bar,75.9,Reject,HUMAN,TL-008,sup-01,AS8PDUP7HX8EMK9SN,WO-90985,0,Visual Defect,0.9839,Night
3685, Ga-2 ,stn-04,11-03-2026 12:42,786def,BOM-2,44.7,77.3 c,11.3 bar,64.39,OK,HUMAN,TL-013,SUP-01,371BGKY544,WO-42724,0,Visual Defect,1.0153,Evening
3686,GA-2,STN-02,2026-03-11 12:42,995GHI,BOM-3,51.3Nm,79.1 c,123.8psi,68.31,REJ,Automated,TL-024,sup-09,V2ATUSUSGGEWAT9CJ,WO-17546,0,Visual Defect,1.0051,Night
3687, Ga-1 ,stn-05,11-03-2026 12:43,540-DEF,BOM-3,43.9 Nm,85.5C,11.5 bar,63.99,REJ,AUTO,TL-005,SUP-09,6FCYNV8SBG2TM2SKZ,WO-25934,0,Leak Detected,0.9771,Morning
3688, Ga-2 ,STN-07,2026/03/11 12:43,440GHI,BOM-3,52.1 Nm,74.4 c,10.8 bar,69.76,REJ,Automated,TL-020,sup-09,ZY95B95LZB9G5VC71,WO-52598,0,,0.9907,Evening
3689,GA-1,stn-07,11-03-2026 12:44,191-def,BOM-3,63.1,72.3C,171.0psi,51.04,OK,Human,TL-013,sup-01,95BXTD1JZ738MXK8L,WO-43335,0,Temperature High,0.9717,Night
3690, Ga-1 , STN-06 ,2026-03-11 12:44,458GHI,BOM-3,56.8 Nm,84.3C,11.5 bar,60.83,,Automated,TL-014,SUP-09,LB8HBJKAE03MZ0VKH,WO-68325,0,Leak Detected,1.0043,Morning
3691,GA-2,STN-05,11-03-2026 12:45,875-abc,BOM-2,53.6,121.5F,143.2psi,65.05,Reject,automated,TL-008,sup-01,0XF6C8SMNYEWXE164,WO-30350,0,,1.0098,Night
3692,ga-2,STN-04,2026/03/11 12:45,526abc,BOM-3,49.6 Nm,165.1F,141.4psi,72.93,Repair,Automated,TL-023,SUP-09,2050X09F839DYYNWB,WO-62582,0,Visual Defect,1.0042,Night
3693,GA-2, STN-06 ,2026-03-11 12:46,330-def,BOM-3,40.3 Nm,68.5 c,12.7 bar,86.73,None,Human,TL-002,SUP-01,SRE5G2BMZS2AB5RML,WO-81743,0,Visual Defect,1.011,Morning
3694, Ga-1 , STN-03 ,2026-03-11 12:70,393-ABC,BOM-2,43.4 Nm,92.0 c,9.6 bar,64.08,REJ,HUMAN,TL-006,sup-01,XY2M0BXXYRTW0M,WO-31886,0,Visual Defect,1.0027,Night
3695,GA-2,STN-04,11-03-2026 12:47,726ghi,BOM-3,56.4Nm,75.6,161.3psi,53.39,Reject,HUMAN,TL-008,sup-01,YTRZMMN70WC9UST0L,WO-32857,0,Torque Out of Spec,1.0152,Evening
3696,ga-1,stn-01,11-03-2026 12:47,281-GHI,BOM-1,46.1Nm,74.4 c,9.4 bar,48.04,None,AUTO,TL-014,SUP-01,J634JH0GNEBBPRZ5K,WO-58844,0,Torque Out of Spec,0.9974,Evening
3697,ga-1,STN-05,2026-03-11 12:48,103ABC,BOM-1,46.5,175.1F,7.2 bar,50.95,na,automated,TL-011,SUP-02,INVALID778,WO-20632,0,Leak Detected,1.014,Morning
3698,ga-1, STN-07 ,,301DEF,BOM-1,49.2,74.0C,8.2 bar,52.26,OK,Automated,TL-023,sup-01,XW87M7FR7R2D47P8Y,WO-23748,0,Leak Detected,0.9743,Evening
3699, Ga-2 ,stn-05,2026/03/11 12:49,924-DEF,BOM-2,44.7 Nm,168.8F,10.6 bar,30.99,REP,Human,TL-005,sup-01,R0P6BNVWAV0YX48LD,WO-89598,0,Torque Out of Spec,0.9721,Evening
3700, Ga-1 , STN-06 ,2026/03/11 12:49,322DEF,BOM-1,43.9 Nm,81.0,11.1 bar,53.24,na,Automated,TL-014,sup-01,AY7S38YV5MESJ2,WO-59199,0,Torque Out of Spec,1.0017,Evening
3701, Ga-1 , STN-03 ,2026/03/11 12:50,874abc,BOM-1,49.7Nm,75.8 c,10.6 bar,67.17,Reject,Human,TL-012,sup-01,24E4G5DUH4KXKCCVE,WO-43403,0,Torque Out of Spec,1.0137,Evening
3702,ga-1,stn-04,2026-03-11 12:50,844-abc,BOM-1,45.5,75.7C,169.9psi,60.75,na,automated,TL-008,sup-01,2UJAGSHKS25GBAB8J,WO-56890,0,Leak Detected,0.9945,Night
3703,ga-2, STN-01 ,2026/03/11 12:51,210-def,BOM-1,46.3 Nm,69.9C,153.5psi,57.41,na,AUTO,TL-001,sup-01,INVALID225,WO-28511,0,,1.0128,Morning
3704,GA-2, STN-02 ,11-03-2026 12:51,751ABC,BOM-1,46.1Nm,68.5C,8.8 bar,43.78,REJ,human,TL-020,SUP-02,GWYNFF89SYJ612ECX,WO-52715,1,Temperature High,1.0062,Night
3705,GA-1,STN-02,2026/03/11 12:52,314DEF,BOM-1,52.6,80.6 c,157.9psi,70.5,REJ,Human,TL-005,sup-01,M722E2UCDC8L89ZU7,WO-65994,0,Torque Out of Spec,0.959,Evening
3706, Ga-1 ,STN-04,,691ghi,BOM-1,48.8Nm,83.1C,10.3 bar,65.12,,Automated,TL-004,SUP-09,K3U4CSRCN4,WO-11425,0,Leak Detected,1.0465,Evening
3707, Ga-2 ,stn-01,2026-03-11 12:53,973-ghi,BOM-3,49.1 Nm,65.7,9.1 bar,59.87,None,AUTO,TL-014,sup-09,4K0CWH3L9GGAZS9NP,WO-13468,0,Leak Detected,0.9748,Evening
3708,GA-2,STN-07,2026-03-11 12:53,203-ghi,BOM-2,53.0,189.7F,10.7 bar,37.97,REJ,Human,TL-004,sup-09,8B66Z87UXF953GGFE,WO-54817,0,Visual Defect,0.9811,Morning
3709, Ga-2 , STN-05 ,2026-03-11 12:54,143-def,BOM-1,49.3Nm,87.6 c,10.1 bar,55.09,None,automated,TL-016,SUP-09,INVALID322,WO-92002,1,Torque Out of Spec,1.023,Evening
3710,GA-2, STN-07 ,2026-03-11 12:54,352DEF,BOM-1,48.6 Nm,89.7 c,9.1 bar,64.34,Reject,AUTO,TL-018,SUP-09,D8C5UB3HUWSUCN1UT,WO-16271,0,,1.0004,Morning
3711,ga-2, STN-02 ,11-03-2026 12:55,304DEF,BOM-2,52.4 Nm,83.0C,9.7 bar,59.71,REP,AUTO,TL-006,SUP-02,B9JS1HREV2P4UZH2H,WO-64156,0,Torque Out of Spec,0.9846,Night
3712,ga-2,STN-06,11-03-2026 12:55,295def,BOM-1,53.3 Nm,86.4,175.7psi,61.92,Reject,Human,TL-002,SUP-02,64NBXM0R9TU5,WO-44045,0,Torque Out of Spec,0.9906,Night
3713,ga-2,STN-01,2026-03-11 12:56,829DEF,BOM-3,49.3,101.9C,12.1 bar,66.85,Reject,AUTO,TL-003,sup-01,TJBSBTLDJ9D8H8VT6,WO-50403,0,,0.9824,Morning
3714, Ga-1 ,STN-07,11-03-2026 12:56,999-ghi,BOM-1,50.4,77.0C,149.1psi,61.55,Reject,automated,TL-002,sup-09,LGFJSL9H,WO-71954,0,Temperature High,0.984,Morning
3715,GA-1,stn-04,2026-03-11 12:57,817ABC,BOM-3,46.1Nm,69.5,146.2psi,66.5,na,Automated,TL-012,sup-09,INVALID929,WO-34508,0,Leak Detected,1.0158,Morning
3716,GA-1, STN-02 ,2026-03-11 12:57,666-ghi,BOM-1,45.7 Nm,64.7 c,7.9 bar,51.56,REJ,Automated,TL-010,SUP-01,3PKRTDW9KLKLE0EX5,WO-22137,0,Torque Out of Spec,0.99,Night
3717, Ga-1 ,stn-05,2026/03/11 12:58,842abc,BOM-3,53.8 Nm,207.6F,12.6 bar,47.77,Reject,human,TL-019,SUP-09,L2GJEEB5RJP2D6JGL,WO-58052,0,Torque Out of Spec,0.9786,Night
3718,GA-2, STN-03 ,11-03-2026 12:58,372-ABC,BOM-3,52.2 Nm,97.7,11.6 bar,64.77,Reject,human,TL-010,SUP-09,W6Y5644724E98W8AV,WO-66764,0,Temperature High,0.9848,Morning
3719,ga-2,stn-01,2026-03-11 12:59,739ABC,BOM-3,52.3Nm,70.8C,161.4psi,66.82,OK,AUTO,TL-016,SUP-09,4HDHV310HSVGLHWVT,WO-57488,0,,0.9969,Morning
3720, Ga-1 ,stn-02,2026-03-11 12:59,198def,BOM-3,51.4,72.7C,6.6 bar,65.19,OK,human,TL-012,SUP-02,KBTNS55ZW1GSEGV1C,WO-88348,0,Leak Detected,0.985,Morning
3721,GA-2,STN-03,11-03-2026 13:00,710-ABC,BOM-2,50.2,76.8C,10.1 bar,61.32,Repair,HUMAN,TL-011,sup-02,US65NNTJVZ98F2EXR,WO-23009,0,Torque Out of Spec,0.9938,Evening
3722,ga-1,STN-03,11-03-2026 13:00,606-GHI,BOM-3,,92.2C,9.8 bar,56.76,Reject,AUTO,TL-018,sup-02,AMF0ABXU600X3LGGU,WO-53530,0,Leak Detected,1.007,Morning
3723,ga-2, STN-07 ,2026-03-11 13:01,847def,BOM-2,54.7 Nm,67.1 c,11.0 bar,62.11,REP,human,TL-013,sup-01,INVALID346,WO-45087,0,Leak Detected,0.9904,Evening
3724, Ga-1 ,STN-01,11-03-2026 13:01,621DEF,BOM-3,54.6Nm,140.6F,9.3 bar,63.79,OK,HUMAN,TL-014,sup-02,XL0GT3ZLBMC898WBR,WO-94427,1,Leak Detected,0.9828,Morning
3725,ga-2,stn-06,2026-03-11 13:02,547def,BOM-2,49.5,215.0F,140.0psi,64.39,REJ,human,TL-011,SUP-09,975CRJWAG0H20FAYE,WO-34059,0,Temperature High,0.9861,Evening
3726,GA-1,STN-06,2026-03-11 13:02,295def,BOM-3,56.9,181.6F,158.5psi,86.07,None,automated,TL-018,sup-09,BWXY0B16ES3VZTJPH,WO-68376,1,,1.0278,Night
3727, Ga-2 ,STN-04,2026-03-11 13:03,776def,BOM-1,51.1Nm,184.2F,8.8 bar,50.79,REJ,Automated,TL-008,SUP-01,ESR9USXHART0N3VXX,WO-91275,0,,1.0435,Night
3728, Ga-2 , STN-02 ,11-03-2026 13:03,897-DEF,BOM-3,53.2 Nm,77.9 c,9.1 bar,92.26,Reject,HUMAN,TL-002,,MC0KZLZWH1VMEWAN8,WO-64984,0,,1.0009,Morning
3729, Ga-1 ,STN-06,11-03-2026 13:04,741abc,BOM-1,51.4,84.7C,149.2psi,47.43,REJ,automated,TL-011,SUP-02,9ZJZWS1MDRYJCRXCL,WO-59423,0,,1.0145,Night
3730,GA-2, STN-04 ,11-03-2026 13:04,208-DEF,BOM-1,51.2,148.7F,12.0 bar,63.86,Reject,human,TL-008,SUP-01,KSAENJ7K6EMZ63DDT,WO-71740,1,Visual Defect,0.9812,Night
3731, Ga-2 , STN-06 ,2026-03-11 13:05,497ghi,BOM-3,46.3 Nm,71.6,11.2 bar,48.05,OK,AUTO,TL-022,sup-02,GZJFEX3UE8,WO-34605,0,,0.9882,Night
3732, Ga-1 ,stn-03,11-03-2026 13:05,778def,BOM-1,53.5,81.1,168.4psi,63.06,,Human,TL-024,SUP-02,FAZEY3R0SX6GTT72V,WO-86150,0,Temperature High,1.009,Night
3733,GA-2, STN-04 ,2026-03-11 13:06,130DEF,BOM-1,64.2 Nm,135.1F,10.1 bar,69.82,REJ,HUMAN,TL-006,sup-01,E2PDLGT69GYLUPMW4,WO-26076,0,Temperature High,0.9527,Morning
3734,ga-1,stn-07,11-03-2026 13:06,742ghi,BOM-2,48.1Nm,77.0 c,12.2 bar,60.33,Reject,AUTO,TL-011,sup-01,B2U59CWM2BKNR2D4M,WO-79695,0,Leak Detected,1.0155,Night
